Item,Department,Value,Last Updated,Description
Total Population,Administration,368062,2014,
Cities,Administration,0,2021,
Municipalities,Administration,1,2021,
Town councils,Administration,5,2021,
Sub-county/Divisions,Administration,13,2021,
Parishes/Wards,Administration,72,2021,
Number of Schools,Education,250,2021,
Pupil-Teacher Ratio in Government Primary Schools,Education,60,2021,
Pupil-Teacher Ratio in Government Primary Schools,Education,45,2021,
Student-Teacher Ratio in Government Secondary Schools,Education,50,2021,
Student-Teacher Ratio in Private Secondary Schools,Education,40,2021,
