district_id,county_id,subcounty_id,parish_id,village_id,district,county,subcounty,parish,village,year,level,ownership,name_of_school,staus,gps_cordinates
d102,c101,s103,,,Kayunga,Bbaale,Kayonza,,,2023,Primary,Private,Agape Mission Primary School,Active,
d102,c102,s107,,,Kayunga,Ntenjeru,Kangulumira,,,2023,Primary,Private,Agape Nursery And Primary School Nakirubi,Closed,
d102,c102,s106,p136,,Kayunga,Ntenjeru,Nazigo,Natteta,,2023,Primary,Private,Ali Islamic Primary School,Active,
d102,c102,s107,p131,v230,Kayunga,Ntenjeru,Kangulumira,Seeta Nyiize,Nakirubi,2023,Primary,Private,All Saints Nakirubi Primary School,Active,
d102,c102,s107,p130,,Kayunga,Ntenjeru,Kangulumira,Kawomya,,2023,Primary,Private,Aniswari Primary School,Active,
d102,c102,s107,p131,,Kayunga,Ntenjeru,Kangulumira,Seeta Nyiize,,2023,Primary,Private,Arise And Hope Primary School Kamira,Active,
d102,c102,s107,p131,,Kayunga,Ntenjeru,Kangulumira,Seeta Nyiize,,2023,Primary,Private,Arise And Shine Primary School Nakirubi,Active,
d102,c102,s106,p138,,Kayunga,Ntenjeru,Nazigo,Nazigo,,2023,Primary,Private,Aunt Anne Primary School,Active,
d102,c102,s106,p138,,Kayunga,Ntenjeru,Nazigo,Nazigo,,2023,Primary,Private,Aunt Jane Primary School,Active,
d102,c102,s109,,,Kayunga,Ntenjeru,Kayunga Town Council,Bukolooto Ward,,2023,Primary,Private,Aunt Vicky Primary School,Active,"0.684322530693626, 32.918241210976355"
d102,c101,s102,p109,v101,Kayunga,Bbaale,Bbaale,Bbaale,Bbaale East,2023,Primary,Government,Bbaale CU  Primary School,Active,"1.0996100387808265, 32.886781641328966"
d102,c101,s102,p109,,Kayunga,Bbaale,Bbaale,Bbaale,,2023,Primary,Private,Bbaale Moslem School,Active,
d102,c102,s109,,,Kayunga,Ntenjeru,Kayunga Town Council,Bukolooto Ward,,2023,Primary,Private,BEMCO Primary School Kitatya,Active,
d102,c102,s105,p115,v149,Kayunga,Ntenjeru,Busaana,Kasana,Bisaka,2023,Primary,Government,Bisaka Parents Primary School,Active,"0.8636823449034225, 32.9799503646428"
d102,c101,s104,p144,v442,Kayunga,Bbaale,Kitimbwa,Nakivubo,Bisaka Central,2023,Primary,Government,Bisaka Primary School,Active,
